Time	A	B	
0	1	0	
100	0.819119	0.180881	
200	0.670956	0.329044	
300	0.549592	0.450408	
400	0.450181	0.549819	
500	0.368752	0.631248	
600	0.302052	0.697948	
700	0.247416	0.752584	
800	0.202663	0.797337	
900	0.166005	0.833995	
1000	0.135978	0.864022	
1100	0.111382	0.888618	
1200	0.0912351	0.908765	
1300	0.0747323	0.925268	
1400	0.0612146	0.938785	
1500	0.0501421	0.949858	
1600	0.0410723	0.958928	
1700	0.0336431	0.966357	
1800	0.0275577	0.972442	
1900	0.022573	0.977427	
2000	0.01849	0.98151	
2100	0.0151455	0.984855	
2200	0.0124059	0.987594	
2300	0.0101619	0.989838	
2400	0.00832383	0.991676	
2500	0.0068182	0.993182	
2600	0.00558492	0.994415	
2700	0.00457471	0.995425	
2800	0.00374723	0.996253	
2900	0.00306943	0.996931	
3000	0.00251422	0.997486	
3100	0.00205945	0.997941	
3200	0.00168693	0.998313	
3300	0.0013818	0.998618	
3400	0.00113186	0.998868	
3500	0.000927124	0.999073	
3600	0.000759425	0.999241	
3700	0.000622059	0.999378	
3800	0.00050954	0.99949	
3900	0.000417374	0.999583	
4000	0.000341878	0.999658	
4100	0.000280039	0.99972	
4200	0.000229385	0.999771	
4300	0.000187894	0.999812	
4400	0.000153907	0.999846	
4500	0.000126068	0.999874	
4600	0.000103265	0.999897	
4700	8.45862e-05	0.999915	
4800	6.92861e-05	0.999931	
4900	5.67535e-05	0.999943	
5000	4.64879e-05	0.999954	
5100	3.80791e-05	0.999962	
5200	3.11913e-05	0.999969	
5300	2.55494e-05	0.999974	
5400	2.0928e-05	0.999979	
5500	1.71425e-05	0.999983	
5600	1.40417e-05	0.999986	
5700	1.15018e-05	0.999988	
5800	9.42137e-06	0.999991	
5900	7.71722e-06	0.999992	
6000	6.32132e-06	0.999994	
6100	5.17791e-06	0.999995	
6200	4.24132e-06	0.999996	
6300	3.47414e-06	0.999997	
6400	2.84574e-06	0.999997	
6500	2.331e-06	0.999998	
6600	1.90936e-06	0.999998	
6700	1.56399e-06	0.999998	
6800	1.2811e-06	0.999999	
6900	1.04937e-06	0.999999	
7000	8.59558e-07	0.999999	
7100	7.0408e-07	0.999999	
7200	5.76725e-07	0.999999	
7300	4.72406e-07	1	
7400	3.86957e-07	1	
7500	3.16963e-07	1	
7600	2.59631e-07	1	
7700	2.12668e-07	1	
7800	1.742e-07	1	
7900	1.42691e-07	1	
8000	1.16881e-07	1	
8100	9.57391e-08	1	
8200	7.84217e-08	1	
8300	6.42367e-08	1	
8400	5.26174e-08	1	
8500	4.30999e-08	1	
8600	3.53039e-08	1	
8700	2.89181e-08	1	
8800	2.36874e-08	1	
8900	1.94028e-08	1	
9000	1.58931e-08	1	
9100	1.30184e-08	1	
9200	1.06636e-08	1	
9300	8.73473e-09	1	
9400	7.15483e-09	1	
9500	5.86072e-09	1	
9600	4.80063e-09	1	
9700	3.93229e-09	1	
9800	3.22102e-09	1	
9900	2.63841e-09	1	
10000	2.16119e-09	1	
