Time	A	B	
0	1	0	
100	0.950565	0.0494353	
200	0.903573	0.0964268	
300	0.858905	0.141095	
400	0.816445	0.183555	
500	0.776083	0.223917	
600	0.737717	0.262283	
700	0.701248	0.298752	
800	0.666582	0.333418	
900	0.633629	0.366371	
1000	0.602305	0.397695	
1100	0.57253	0.42747	
1200	0.544227	0.455773	
1300	0.517323	0.482677	
1400	0.491749	0.508251	
1500	0.467439	0.532561	
1600	0.444331	0.555669	
1700	0.422365	0.577635	
1800	0.401486	0.598514	
1900	0.381638	0.618362	
2000	0.362772	0.637228	
2100	0.344838	0.655162	
2200	0.327791	0.672209	
2300	0.311586	0.688414	
2400	0.296183	0.703817	
2500	0.281541	0.718459	
2600	0.267623	0.732377	
2700	0.254393	0.745607	
2800	0.241817	0.758183	
2900	0.229863	0.770137	
3000	0.218499	0.781501	
3100	0.207698	0.792302	
3200	0.19743	0.80257	
3300	0.18767	0.81233	
3400	0.178393	0.821607	
3500	0.169574	0.830426	
3600	0.161191	0.838809	
3700	0.153222	0.846778	
3800	0.145648	0.854352	
3900	0.138447	0.861553	
4000	0.131603	0.868397	
4100	0.125097	0.874903	
4200	0.118913	0.881087	
4300	0.113035	0.886965	
4400	0.107447	0.892553	
4500	0.102135	0.897865	
4600	0.097086	0.902914	
4700	0.0922865	0.907714	
4800	0.0877243	0.912276	
4900	0.0833876	0.916612	
5000	0.0792653	0.920735	
5100	0.0753468	0.924653	
5200	0.071622	0.928378	
5300	0.0680813	0.931919	
5400	0.0647157	0.935284	
5500	0.0615165	0.938484	
5600	0.0584754	0.941525	
5700	0.0555846	0.944415	
5800	0.0528368	0.947163	
5900	0.0502248	0.949775	
6000	0.0477419	0.952258	
6100	0.0453818	0.954618	
6200	0.0431383	0.956862	
6300	0.0410057	0.958994	
6400	0.0389786	0.961021	
6500	0.0370517	0.962948	
6600	0.03522	0.96478	
6700	0.0334789	0.966521	
6800	0.0318239	0.968176	
6900	0.0302506	0.969749	
7000	0.0287552	0.971245	
7100	0.0273337	0.972666	
7200	0.0259824	0.974018	
7300	0.024698	0.975302	
7400	0.023477	0.976523	
7500	0.0223164	0.977684	
7600	0.0212132	0.978787	
7700	0.0201645	0.979835	
7800	0.0191677	0.980832	
7900	0.0182201	0.98178	
8000	0.0173194	0.982681	
8100	0.0164632	0.983537	
8200	0.0156493	0.984351	
8300	0.0148757	0.985124	
8400	0.0141403	0.98586	
8500	0.0134413	0.986559	
8600	0.0127768	0.987223	
8700	0.0121452	0.987855	
8800	0.0115448	0.988455	
8900	0.0109741	0.989026	
9000	0.0104316	0.989568	
9100	0.00991587	0.990084	
9200	0.00942568	0.990574	
9300	0.00895972	0.99104	
9400	0.00851679	0.991483	
9500	0.00809576	0.991904	
9600	0.00769554	0.992304	
9700	0.00731511	0.992685	
9800	0.00695349	0.993047	
9900	0.00660974	0.99339	
10000	0.00628298	0.993717	
